Titre en anglais,Titre en Japonais,Editeurs,Numéro de série,Date,Main Category,Sub Category
Jutei Senki,樹帝戦紀,エニックス / タムタム / Enix / Tamtam,SHVC-JU,1993-08-27,Strategy,
JWP Jyoshi Pro Wrestling - Pure Wrestle Queens,JWP女子プロレス ピュア・レッスル・クイーンズ,ジャレコ / Jaleco,SHVC-AJWJ-JPN,1994-12-23,Sports,Wrestling
Kabuki Chou Reach Mahjong,歌舞伎町 リーチ麻雀 東風戦,ポニーキャニオン / Pony Canyon,SHVC-IF-(R88V5949),1994-07-15,Table Game,Mahjong
Kabuki Rocks,カブキロックス,アトラス/レッド / Atlus / RED,SHVC-QR,1994-03-04,RPG,
Kachou Shima Kousaku,課長 島 耕作 スーパービジネスアドベンチャー,"バンダイ, ユタカ / トムクリエイト / Bandai, Yutaka / Tom Create",SHVC-UK,1993-09-17,Visual Novel,Salary Man
Kagakusha Harley no Haran Banjou,化学者ハリーの波乱万丈,アルトロン / Altron / Electronic Arts,SHVC-HV,1994-10-28,Platformer,
Kakinoki Shougi,柿木将棋,アスキー / 酒田エス・エー・エス / ASCII / Sakata SAS,SHVC-AKAJ-JPN,1995-09-01,Table Game,Shougi
Kamai-tachi no Yoru (Banshee's Last Cry),かまいたちの夜,チュンソフト / Chun Soft,SHVC-EU,1994-11-25,Sound Novel,Horror
Kamen Rider Kyoufu! Fukkatsu no Shokkaa Gundan!!,仮面ライダー 恐怖！復活のショッカー軍団！！,バンダイ / Bandai,SHVC-K4,1993-11-12,Beat 'em All,
Kamen Rider SD - Shutsugeki!! Rider Machine,仮面ライダーSD 出撃！！ライダーマシン,バンダイ / ユタカ / Bandai / Yutaka,SHVC-KA,1993-07-09,Racing,Moto
Karuraou,カルラオウ 迦楼羅王,エピック・ソニーレコード（ソニー・ミュージックエンタテインメント） / 浮世亭 / Epic Sony Records (Sony Music Entertainment) / Ukiyotei,SHVC-OH-(ESPG51),1994-02-18,Beat 'em All,
Kat's Run - Zennihon K Car Senshuken,キャッツ・ラン 全日本Kカー選手権,アトラス / Atlus,SHVC-AKCJ-JPN,1995-07-14,Racing,Fun
Katou Ichi-Ni-San Kudan Shougi Club,加藤一二三 九段 将棋倶楽部,ヘクト / 夏システム / Hector / Natsu-System,SHVC-A9HJ-JPN,1997-05-16,Table Game,Shougi
Kawa no Nushi Tsuri 2,川のぬし釣り2,パック・イン・ビデオ / Pack-in-Video,SHVC-AKNJ-JPN,1995-04-28,RPG,Fishing
Keeper,キーパー,"データム・ポリスター / サクセス, フューパック / アスキー / Datam Polystar / Success, Fupac / ASCII",SHVC-K9,1994-07-15,Puzzle,
Keiba Eight Special - Hi Baken Kounyuu Jutsu,競馬エイトスペシャル ○秘 馬券購入術,ミサワエンターテインメント / Misawa Entertainment,SHVC-8K,1993-12-10,Sports,Horse
Keiba Eight Special 2 - Hi Baken Kounyuu Jutsu,競馬エイトスペシャル2 ○秘 馬券購入術,イマジニア / Imagineer,SHVC-82,1994-09-30,Sports,Horse
Keiba Yosou Baken Renkinjutsu,勝ち馬予想ソフト 馬券錬金術,ケイエスエス / KSS,SHVC-4K,1994-05-27,Sports,Horse
Kentou-Ou World Champion,ワールドチャンピオン 拳闘王,ソフエル / Sofel,SHVC-BX,1992-04-28,Sports,Boxing
Kenyuu Densetsu Yaiba,ヤイバ 剣勇伝説YAIBA,バンプレスト / アトリエドゥーブル / Banpresto / Atelier Double,SHVC-YB,1994-03-25,RPG,Action
Kero Kero Keroppi no Bouken Nikki: Nemureru Mori no Keroriinu,けろけろけろっぴの冒険日記 眠れる森のけろりーぬ,アスキー / キャラクターソフト / ASCII / Character Soft,SHVC-NE,1994-03-25,RPG,
Kessen! Dokapon Oukoku 4 - Densetsu no Yusha Tachi,決戦！ドカポン王国IV 〜伝説の勇者たち〜,アスミック / Asmik,SHVC-IX,1993-12-10,Table Game,
Kid Klown in Crazy Chase,キッドクラウンのクレイジーチェイス,ケムコ（コトブキシステム） / Kemco,SHVC-ZI / SNS-ZI,1994-10-21 / 1994-01-01,Platformer,
Kidou Butoden G Gundam,機動武闘伝Gガンダム,バンダイ / パンドラボックス / Bandai / Pandora Box,SHVC-AGMJ-JPN,1994-12-27,Fighting,Versus
Kidou Keisatsu Patlabor,機動警察パトレイバー,ベック / Interbec,SHVC-PX,1994-04-22,Strategy,
Kidou Senshi Gundam - Cross Dimension 0079,機動戦士ガンダム クロス・ディメンション0079,バンダイ / Bandai,SHVC-78,1995-02-10,Strategy,
Kidou Senshi Gundam F91 - Formula Senki 0122,機動戦士ガンダムF91 フォーミュラー戦記0122,バンダイ / Bandai,SHVC-GP,1991-07-06,Strategy,
Kidou Senshi V Gundam,機動戦士Vガンダム,バンダイ / Bandai,SHVC-VU,1994-03-11,SHMUP,Platformer
Kidou Senshi Z Gundam - Away to the New Type,機動戦士Zガンダム AWAY TO The NEWTYPE,バンダイ / Bandai,SHVC-AO6J-JPN,1996-03-01,Strategy,
Kidou Soukou Dion,機動装甲ダイオン,ビック東海 / Vic Tokai,SHVC-DY,1992-12-14,SHMUP,Vertical
Kiki Kaikai - Nazo no Kuro Manto,奇々怪界 謎の黒マント,ナツメ / タイトー / Taito / Natsume,SHVC-KK,1992-12-22,SHMUP,Vertical
Kiki Kaikai - Tsukiyo Soushi,奇々怪界 月夜草子,ナツメ / タイトー / Taito / Natsume,SHVC-3N,1994-06-17,SHMUP,Vertical
Kikou Keisatsu Metal Jack,アーマードポリス 機甲警察メタルジャック,アトラス / Atlus,SHVC-MJ,1992-07-31,Platformer,
Kikuni Masahiko no Jantoushi Dora Ou,喜国雅彦の雀闘士 銅鑼王,プランニングオフィスワダ（パウ） / Planning Office WADA (POW),SHVC-JD,1993-02-19,Table Game,Mahjong
Kikuni Masahiko no Jantoushi Dora Ou 2,喜国雅彦の雀闘士 銅鑼王2,プランニングオフィスワダ（パウ） / Planning Office WADA (POW),SHVC-2K,1993-12-03,Table Game,Mahjong
Kindai Mahjong Special,近代麻雀スペシャル,イマジニア / アウトバック / Imagineer / Outback,SHVC-AKJJ-JPN,1995-03-31,Table Game,Mahjong
King of The Monsters,キング・オブ・ザ・モンスターズ,タカラ / タカラ アミューズメント / エス・エヌ・ケイ / Takara / Takara Amusement / SNK,SHVC-KM / SNS-KM,1992-07-31 / 1992-01-01,Fighting,Versus
King of the Monsters 2 - The Next Thing,キング・オブ・ザ・モンスターズ2,タカラ / エス・エヌ・ケイ / Takara / SNK,SHVC-KT,1993-12-22,Beat 'em All,
Kingyo Chuihou! Tobidase Game Gakuen,きんぎょ注意報！ とびだせ！ゲーム学園,ジャレコ / Jaleco,SHVC-J7,1994-03-18,Puzzle,
Kinnikuman - Dirty Challenger,キン肉マン ダーティー・チャレンジャー,"バンダイ, ユタカ / Bandai, Yutaka",SHVC-KI,1992-08-21,Sports,Wrestling
Kirby Bowl,カービィボウル,任天堂 / ハル研究所 / Nintendo / HAL Laboratory,SHVC-CG-(G725179),1994-09-21 / 1994-01-01,Sports,Golf
Kirby no Kirakira Kids,カービィのきらきらきっず,任天堂 / ハル研究所 / Nintendo / HAL Laboratory,SHVC-BKKJ-JPN,1998-02-01,Platformer,
Kishin Douji Zenki - Denei Raibu,鬼神童子ZENKI 電影雷舞 ゼンキ でんえいライブ,ハドソン / Hudson,SHVC-AZDJ-JPN,1995-11-24,Fighting,Versus
Kishin Douji Zenki - Rettou Raiden,ゼンキ バトルライデン 鬼神童子ZENKI 烈闘雷伝,ハドソン/シーエイプロダクション / Hudson / CAProduction (Computer Artist Production),SHVC-AZ6J-JPN,1995-08-04,Platformer,
Kishin Douji Zenki - Tenchi Meidou,鬼神童子ZENKI 天地鳴動 ゼンキ てんちめいどう,ハドソン / Hudson,SHVC-AZTJ-JPN,1996-02-23,Table Game,
Kishin Kourinden ONI,鬼神降臨伝ONI,バンプレスト / パンドラボックス / Banpresto / Pandora Box,SHVC-HD,1994-08-05,RPG,
Kiteretsu Daihyakka: Cho jikuu Sugoroku,キテレツ大百科 超時空すごろく,ビデオシステム / Video System,SHVC-AVKJ-JPN,1995-01-27,Table Game,
Knights of the Round,ナイツ オブ ザ ラウンド,カプコン / Capcom,SHVC-LO / SNS-LO,1994-06-10 / 1994-01-01,Beat 'em All,
Konpeki no Kantai,紺碧の艦隊,エンジェル / Angel,SHVC-ADFJ-JPN,1995-11-02,Strategy,
Kouryaku Casino Bar,攻略カジノバー,日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-AOOJ-JPN,1995-07-14,Gambling,Casino
Kouryuu Densetsu Villgust - Kieta Shoujo,甲竜伝説ヴィルガスト 消えた少女,バンダイ / ウィンキーソフト / Bandai / Winkysoft,SHVC-VL,1992-05-23,RPG,
Kouryuu no Mimi,黄龍の耳,バップ / VAP (NTV),SHVC-AKVJ-JPN,1995-12-22,Beat 'em All,
Kouryuuki,項劉記,光栄 / Koei,SHVC-QG,1994-04-06,Strategy,
Koushien 2,甲子園2,ケイ・アミューズメントリース / K. Amusement Leasing Co.,SHVC-KQ,1992-06-26,Sports,Baseball
Koushien 3,甲子園3,魔法株式会社（魔法ソフト） / Magical Company,SHVC-3V,1994-07-29,Sports,Baseball
Koushien 4,甲子園4,魔法株式会社 / Magical Company,SHVC-A4VJ-JPN,1995-07-14,Sports,Baseball
Kousoku Shikou Shougiou,高速思考 将棋皇,イマジニア / Imagineer,SHVC-ASGJ-JPN,1995-03-24,Table Game,Shougi
Koutetsu no Kishi,鋼鉄の騎士,アスミック / ジェネラルサポート / デュアル / Asmik / General Support / Dual,SHVC-PZ,1993-02-19,Strategy,
Koutetsu no Kishi 2: Sabaku no Rommel Shougun,鋼鉄の騎士2 砂漠のロンメル軍団,アスミック / ジェネラルサポート / デュアル / Asmik / General Support / Dual,SHVC-2Z,1994-01-28,Strategy,
Koutetsu no Kishi 3 - Gekitotsu Europe Sensen,鋼鉄の騎士3 −激突ヨーロッパ戦線−,アスミック / ジェネラルサポート / デュアル / Asmik / General Support / DUAL,SHVC-APZJ-JPN,1995-01-27,Strategy,
Krusty's World,クリスティーワールド,アクレイムジャパン / Acclaim Japan / Audiogenic Software,SHVC-FH,1993-01-29,Puzzle,
Kunio no Oden,くにおのおでん,テクノスジャパン / Technos Japan,SHVC-QO,1994-05-27,Puzzle,
Kunio-kun no Dodge Ball dayo Zenin Shuugou!,くにおくんのドッジボールだよ 全員集合！,テクノスジャパン / Technos Japan,SHVC-ND,1993-08-06,Sports,Dodgeball
Kunio-kun no Dodge Ball dayo Zenin Shuugou! Tournament Special,くにおくんのドッジボールだよ 全員集合！,テクノスジャパン / Technos Japan,SHVC-ND,1993-08-06,Sports,Dodgeball
Kuusou Kagaku Sekai Gulliver Boy,空想科学世界 ガリバーボーイ,バンダイ / Bandai,SHVC-AKUJ-JPN,1996-06-28,RPG,Action
Kyoraku Sanyo Maruhon Parlor! Parlor! 5,京楽 三洋 マルホン Parlor ! パーラー！ 5 パチンコ3社・実機シミュレーションゲーム,日本テレネット / Telenet Japan,SHVC-AVVJ-JPN,1996-03-29,Gambling,Pachinko
Kyoraku Sanyo Toyomaru Daiichi Maruhon Parlor! Parlor! 2,京楽 三洋 豊丸 大一 マルホン Parlor ! パーラー！2 パチンコ5社・実機シミュレーションゲーム,日本テレネット / Telenet Japan,SHVC-AIPJ-JPN,1995-08-25,Gambling,Pachinko
Kyoraku Sanyo Toyomaru Okumura Daiichi Maruhon Parlor! Parlor! 4 CR - Jikki Shimyureeshon Geemu,京楽 三洋 豊丸 奥村 大一 マルホン パーラー！IV パチンコ6社・CR実機シミュレーションゲーム,日本テレネット / Telenet Japan,SHVC-AZCJ-JPN,1995-12-29,Gambling,Pachinko
Kyoraku Sanyo Toyomaru Okumura Taiyou Parlor! Parlor! 3,京楽 三洋 豊丸 奥村 太陽 Parlor ! パーラー！3 パチンコ5社・実機シミュレーションゲーム,日本テレネット / Telenet Japan,SHVC-AYPJ-JPN,1996-01-19,Gambling,Pachinko
Kyoraku Sanyo Toyomaru Parlor! Parlor!,京楽 三洋 豊丸 Parlor ! パーラー！ パチンコ3社・実機シミュレーションゲーム,日本テレネット / Telenet Japan,SHVC-APXJ-JPN,1995-03-30,Gambling,Pachinko
Kyuuyaku Megami Tensei,旧約・女神転生 女神転生I 女神転生II,アトラス / イスコ / ナムコ / Atlus / ISCO / Namco,SHVC-AKMJ-JPN,1995-03-31,RPG,
La Wares,ラ・ワース (真・聖刻),ユタカ / Yutaka,SHVC-A8YJ-JPN,1995-04-21,RPG,
Lady Stalker - Kako kara no Chousen,レディストーカー 〜過去からの挑戦〜,タイトー / クライマックス / Taito / Climax,SHVC-ALSJ-JPN,1995-04-01,RPG,Action
Lagoon,ラグーン,ケムコ（コトブキシステム）/ ズーム / Kemco / Zoom,SHVC-LA / SNS-LA,1991-12-13 / 1991-01-01,RPG,Action
LaPlace no Ma,ラプラスの魔,ビック東海 / ハミングバードソフト / Vic Tokai / Humming Bird Soft,SHVC-ADLJ-JPN,1995-07-14,RPG,
Larry Nixon's Super Bass Fishing,ラリー・ニクソン スーパー・バス・フィッシング,キングレコード / ギャップス / King Records / GAPS,SHVC-QJ-(KIS-4),1994-09-22,Sports,Pêche
Las Vegas Dream In Golden Paradise,ラスベガスドリーム,"イマジニア/ハル研究所, ダイス / Imagineer / HAL Laboratory, Dice",SHVC-L6,1993-09-10,Gambling,Casino
Lasabirdie - Personal Golf Simulator - Get in the Hole,リコー・レーザーバーディー ゲットインザホール,RICHO / RICHO,SHVC-AGHJ-JPN-(LB100S),1995-01-01,Sports,Golf
Last Bible III,ラストバイブルIII,アトラス / マルチメディア インテリジェンス トランスファー（ミット） / Atlus / Multimedia Intelligence Transfer (MIT),SHVC-ALBJ-JPN,1995-03-04,RPG,
Leading Company,リーディングカンパニー,光栄 / Koei,SHVC-LC,1993-02-26,Strategy,
Leading Jockey,リーディングジョッキー,カロッツェリアジャパン / メディアエンターテイメント / Carrozzeria Japan / Media Entertainment,SHVC-L9,1994-09-16,Sports,Horse
Leading Jockey 2,リーディングジョッキー2,カロッツェリアジャパン / デジタルウェア / Carrozzeria Japan / Digital Weare,SHVC-ALJJ-JPN,1995-11-24,Sports,Horse
Lemmings,レミングス,サンソフト（サン電子） / Sunsoft (Sun Electronics) / Psygnosis,SHVC-LE / SNS-LE,1991-12-18 / 1992-03-01,Puzzle,Réflexion
Lemmings 2 - The Tribes,レミングス2,サンソフト（サン電子） / Sunsoft (Sun Electronics) / Psygnosis,SHVC-L2 / SNS-L2,1994-08-12 / 1994-11-01,Puzzle,Réflexion
Lennus - Kodai Kikai no Kioku,Lennus レナス 古代機械の記憶,アスミック / Asmik,SHVC-LN,1992-11-13,RPG,
Lennus 2 - Fuuin no Shito,レナスII —封印の使徒—,アスミック / Asmik,SHVC-ALNJ-JPN,1996-07-26,RPG,
Lethal Enforcers,リーサルエンフォーサーズ,コナミ / Konami,SHVC-LK / SNS-LK,1994-03-11 / 1994-01-01,Shooter,Target
Libble Rabble,リブルラブル,ナムコ / Namcot,SHVC-26,1994-09-22,Puzzle,
Light Fantasy,ライトファンタジー,トンキンハウス（東京書籍） / Tonkin House (Tokyo Shoseki),SHVC-LF,1992-07-03,RPG,
Light Fantasy II,ライトファンタジーII,トンキンハウス / Tonkin House,SHVC-ALRJ-JPN,1995-10-27,RPG,
Little Magic,リトル・マジック,アルトロン / Altron,SHVC-LI,1993-12-24,Puzzle,
Little Master - Niji Iro no Maseki,リトルマスター〜虹色の魔石〜,徳間ジャパンコミュニケーションズ / 徳間書店インターメディア / ツェナワークス / Tokuma Japan Communications / Tokuma Shoten Intermedia / Zener Works,SHVC-ALMJ-JPN,1995-06-30,RPG,
Live A Live,ライブ・ア・ライブ,スクウェア / Square,SHVC-5V,1994-09-02,RPG,
Lode Runner Twin - Justy to Liberty no Daibouken,ツイン ロードランナー Twin ジャスティとリバティの大冒険,ティーアンドイーソフト / T&E Soft,SHVC-7Z,1994-07-29,Puzzle,
Lodoss Tou Senki,ロードス島戦記,角川書店 / グループSNE / ハミングバードソフト / Kadokawa Digital Entertainment / Group SNE / Humming Bird Soft,SHVC-ALWJ-JPN,1995-12-22,RPG,
Logos Panic GO.A.I.SA.TU.,ロゴスパニックごあいさつ,ユタカ / Yutaka,SHVC-A6YJ-JPN,1995-11-17,Puzzle,
Looney Tunes Road Runner vs. Wily E Coyote,LOONEY TUNES ロードランナーVSワイリーコヨーテ,サンソフト（サン電子） / Sunsoft (Sun Electronics) / Icom Simutations,SHVC-DV / SNS-DV,1992-12-22 / 1992-01-01,Platformer,
Lord Monarch,ロードモナーク,エポック社 / 日本ファルコム / Epoch / Falcom,SHVC-LM,1992-10-09,Strategy,
Love Quest,ラブクエスト,徳間ジャパンコミュニケーションズ / 徳間書店インターメディア / Tokuma Japan Communications / Tokuma Shoten Intermedia,SHVC-ALQJ-JPN,1995-03-17,RPG,
Lupin Sansei - Densetsu no Hihou o Oe,ルパン三世 伝説の秘宝を追え！,エポック社 / 酒田エス・エー・エス / Epoch / Sakata SAS,SHVC-ALPJ-JPN,1994-12-27,Platformer,
Madara Saga - Youchien Senki Madara,幼稚園戦記まだら,データム・ポリスター / Datam Polystar,SHVC-ADPJ-JPN,1996-01-26,RPG,
Madou Monogatari - Hanamaru Daiyouchienji,魔導物語 はなまる大幼稚園児,徳間ジャパンコミュニケーションズ / 徳間書店インターメディア / コンパイル / Tokuma Japan Communications / Tokuma Shoten Intermedia / Compile,SHVC-ADYJ-JPN,1996-01-12,RPG,
Magic Johnson's Super Slam Dunk,マジックジョンソンのスーパースラムダンク,ヴァージンゲーム / Virgin Games,SHVC-D9 / SNS-D9,1993-07-16 / 1993-01-01,Sports,Basketball
Magic Knight Rayearth - Mahou Kishi,マジックナイト レイアース 魔法騎士,トミー / パンドラボックス / Tomy / Pandora Box,SHVC-AURJ-JPN,1995-09-29,RPG,
Magic Sword,マジックソード,"カプコン, ステイタス / Capcom",SHVC-MD / SNS-MD,1992-05-29 / 1993-01-01,Platformer,
Magical Drop,マジカルドロップ,データイースト / Data East / Russ,SHVC-AD7J-JPN,1995-10-20,Puzzle,Matching
Magical Drop 2,マジカルドロップ2,データイースト / Data East,SHVC-AOKJ-JPN,1996-09-20,Puzzle,Matching
Magical Pop'n,マジカルポップン,パック・イン・ビデオ / Pack-in-Video / Polestar,SHVC-AIAJ-JPN,1995-03-10,Platformer,
Magical Taruruuto-kun - Magic Adventure,まじかる☆タルるートくん MAGIC ADVENTURE,バンダイ / Bandai,SHVC-TL,1992-03-28,Platformer,
Magna Braban - Henreki no Yusha,マグナブラバン〜遍歴の勇者,アスク講談社 / レナール / Ask Kodansha / Lenar,SHVC-AMBJ-JPN,1994-11-18,RPG,
Mahjong Club,麻雀倶楽部,ヘクト / 夏システム / Hector / Natsu-System,SHVC-AHMJ-JPN,1994-12-22,Table Game,Mahjong
Mahjong Gokuu Tenjiku,麻雀悟空 天竺,シャノアール / Chatnoir,SHVC-59,1994-08-19,Table Game,Mahjong
Mahjong Hanjouki,麻雀繁盛記,日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-AHVJ-JPN,1995-07-28,Table Game,Mahjong
Mahjong Hisshou Den - Naki no Ryuu,哭きの竜 麻雀飛翔伝,アイ・ジー・エス / IGS (Information Global Service),SHVC-RY,1992-12-25,Table Game,Mahjong
Mahjong Hisshou Den - Shin Naki no Ryuu,麻雀飛翔伝 真 哭きの竜,ベック / Interbec,SHVC-ARUJ-JPN,1995-10-27,Table Game,Mahjong
Mahjong Sengoku Monogatari,麻雀戦国物語,四次元 / Yojigen,SHVC-Y3,1994-09-23,Table Game,Mahjong
Mahjong Taikai 2,麻雀大会II,光栄 / Koei,SHVC-AIQJ-JPN,1994-09-30,Table Game,Mahjong
Mahou Poi Poi Poitto!,魔法ぽいぽい ぽいっと！,タカラ / メトロ / Takara / Metro,SHVC-9P,1994-08-05,Puzzle,
Mahoujin Guru Guru,魔法陣グルグル,エニックス / タムタム / Enix / TamTam,SHVC-AGUJ-JPN,1995-04-21,RPG,
Mahoujin Guru Guru 2,魔法陣グルグル2,エニックス / タムタム / Enix / Tamtam,SHVC-A99J-JPN,1996-04-12,RPG,
Majin Tensei,魔神転生,アトラス / Atlus,SHVC-ZM,1994-01-28,Strategy,
Majin Tensei 2 - Spiral Nemesis,魔神転生II スパイラルネメシス,アトラス / Atlus,SHVC-AZ2J-JPN,1995-02-19,RPG,
